Node Number	Shear Elastic Strain (mm/mm)
300	-7.497e-004
301	-9.8565e-004
302	-1.2638e-003
303	-1.531e-003
304	-1.6374e-003
305	-2.2388e-003
306	-1.9304e-003
307	-1.5092e-003
308	-1.0342e-003
309	-4.4295e-004
310	-4.6826e-004
311	-8.9064e-005
312	-2.0789e-004
313	-7.5145e-005
314	-9.0225e-005
315	-8.3221e-005
316	-8.141e-005
317	-1.0245e-004
318	-7.4168e-005
319	9.2765e-005
320	4.4e-004
321	2.5499e-004
322	-2.0212e-004
323	1.4374e-004
324	-6.4185e-005
325	-1.9223e-004
326	-1.0217e-004
327	-9.3628e-006
328	1.1042e-005
329	-1.225e-003
330	-2.2873e-003
331	1.546e-004
332	3.409e-005
333	2.7955e-005
334	-1.9874e-006
335	-6.3285e-006
336	-1.361e-005
337	-2.1614e-005
338	-3.2371e-005
339	-4.6244e-005
340	-6.4168e-005
341	-8.7539e-005
342	-1.1834e-004
343	-1.6065e-004
344	-2.1916e-004
345	-3.0318e-004
346	-4.2698e-004
347	-8.9342e-004
348	1.6773e-004
349	1.3094e-004
350	1.3716e-004
351	1.4235e-004
352	1.497e-004
353	1.5644e-004
354	1.6224e-004
355	1.658e-004
356	1.6526e-004
357	1.569e-004
358	1.3551e-004
359	8.8749e-005
360	-1.6224e-006
361	-1.6377e-004
362	-1.5694e-003
363	-1.197e-003
364	-8.8687e-004
365	3.605e-005
366	-1.7957e-006
367	-9.1852e-006
368	-2.0129e-005
369	-3.0841e-005
370	-4.4054e-005
371	-6.0086e-005
372	-7.9962e-005
373	-1.0515e-004
374	-1.3749e-004
375	-1.8216e-004
376	-2.4171e-004
377	-3.3873e-004
378	-4.7339e-004
379	-9.2516e-004
380	-3.669e-004
381	-9.585e-005
382	1.8545e-005
383	8.8518e-005
384	1.2325e-004
385	1.4098e-004
386	1.4817e-004
387	1.4961e-004
388	1.4784e-004
389	1.4469e-004
390	1.4077e-004
391	1.3988e-004
392	1.3719e-004
393	1.8151e-004
394	-1.5806e-003
395	-8.7647e-004
396	-8.3016e-004
397	-7.5951e-004
398	-6.8079e-004
399	-6.0124e-004
400	-5.2266e-004
401	-4.4566e-004
402	-3.7077e-004
403	-2.9864e-004
404	-2.3004e-004
405	-1.6586e-004
406	-1.0718e-004
407	-5.5146e-005
408	-1.1034e-005
409	2.3858e-005
410	4.8198e-005
411	6.0559e-005
412	5.9443e-005
413	4.2284e-005
414	-1.9455e-006
415	-2.5532e-005
416	-4.4179e-005
417	-6.042e-005
418	-7.437e-005
419	-8.6412e-005
420	-9.6597e-005
421	-1.0511e-004
422	-1.1222e-004
423	-1.1827e-004
424	-1.2361e-004
425	-1.2882e-004
426	-1.3386e-004
427	-1.4423e-004
428	-1.4024e-004
429	-1.3591e-004
430	-1.5257e-004
431	-1.6505e-004
432	-1.5679e-004
433	-1.5255e-004
434	-1.6359e-004
435	-1.5129e-004
436	-1.6255e-004
437	-1.4444e-004
438	-1.476e-004
439	-1.2994e-004
440	-1.239e-004
441	-1.006e-004
442	-9.4814e-005
443	-1.9288e-005
444	-3.3836e-005
445	-2.4376e-006
446	3.7315e-006
447	2.5557e-005
448	4.4926e-005
449	1.0873e-005
450	7.0006e-005
451	-1.0067e-004
452	-9.8311e-005
453	-2.6942e-004
454	1.2279e-004
455	-1.733e-003
456	-3.2882e-003
457	-1.9105e-003
458	-1.2455e-003
459	-7.9451e-004
460	-5.073e-004
461	-3.1356e-004
462	-1.7926e-004
463	-8.4162e-005
464	-1.552e-005
465	3.476e-005
466	7.1844e-005
467	9.8882e-005
468	1.1786e-004
469	1.2912e-004
470	1.3459e-004
471	1.4093e-004
472	1.2814e-004
473	1.1427e-004
474	8.8907e-005
475	5.2358e-005
476	3.8656e-006
477	-5.7787e-005
478	-1.3362e-004
479	-2.2419e-004
480	-3.2928e-004
481	-4.4778e-004
482	-5.7746e-004
483	-7.1504e-004
484	-8.5618e-004
485	-9.9577e-004
486	-1.1282e-003
487	-1.2483e-003
488	-1.3518e-003
489	-1.4397e-003
490	-1.5115e-003
491	1.0997e-004
492	6.2602e-005
493	1.0024e-004
494	6.5103e-005
495	1.1863e-004
496	9.2053e-005
497	1.3472e-004
498	1.1354e-004
499	1.5135e-004
500	1.3481e-004
501	1.6812e-004
502	1.5634e-004
503	1.8584e-004
504	1.7988e-004
505	2.0475e-004
506	2.0655e-004
507	2.2466e-004
508	2.3718e-004
509	2.4453e-004
510	2.7188e-004
511	2.6197e-004
512	3.0955e-004
513	2.7186e-004
514	3.4693e-004
515	2.6366e-004
516	3.7786e-004
517	2.1234e-004
518	3.9548e-004
519	1.1909e-005
520	1.1946e-005
521	9.9327e-006
522	-1.9066e-006
523	2.7876e-005
524	3.3981e-006
525	3.9488e-005
526	4.8458e-006
527	4.9024e-005
528	4.1975e-006
529	5.6404e-005
530	5.5223e-007
531	6.2724e-005
532	-5.9906e-006
533	6.8662e-005
534	-1.5726e-005
535	7.4997e-005
536	-2.9107e-005
537	8.2753e-005
538	-4.6747e-005
539	9.3639e-005
540	-6.9184e-005
541	1.104e-004
542	-9.6305e-005
543	1.3715e-004
544	-1.2671e-004
545	1.7694e-004
546	-1.5601e-004
547	-5.146e-005
548	-1.032e-005
549	2.9064e-005
550	6.6313e-005
551	1.0153e-004
552	1.3479e-004
553	1.6606e-004
554	1.9519e-004
555	2.2197e-004
556	2.4616e-004
557	2.6749e-004
558	2.8568e-004
559	3.0045e-004
560	3.115e-004
561	3.1853e-004
562	3.2124e-004
563	3.1931e-004
564	3.1248e-004
565	2.9996e-004
566	3.5239e-005
567	7.7151e-005
568	1.1583e-004
569	1.515e-004
570	1.8347e-004
571	2.1084e-004
572	2.3263e-004
573	2.4787e-004
574	2.5568e-004
575	2.5529e-004
576	2.4613e-004
577	2.2783e-004
578	2.0026e-004
579	1.6355e-004
580	1.1814e-004
581	6.4818e-005
582	4.6495e-006
583	-6.076e-005
584	-1.3035e-004
585	4.6436e-004
586	4.4853e-004
587	4.3151e-004
588	4.1334e-004
589	3.9406e-004
590	3.737e-004
591	3.5219e-004
592	3.2938e-004
593	3.0503e-004
594	2.7883e-004
595	2.5041e-004
596	2.1936e-004
597	1.8524e-004
598	1.4758e-004
599	1.0588e-004
600	5.9595e-005
601	8.0078e-006
602	-5.0041e-005
603	-1.1809e-004
604	1.1422e-004
605	1.6696e-004
606	2.1452e-004
607	2.5433e-004
608	2.8587e-004
609	3.0891e-004
610	3.2369e-004
611	3.3079e-004
612	3.3105e-004
613	3.2534e-004
614	3.145e-004
615	2.9911e-004
616	2.7946e-004
617	2.5542e-004
618	2.2647e-004
619	1.9155e-004
620	1.4905e-004
621	9.6528e-005
622	3.0156e-005
623	-1.812e-004
624	-2.1069e-004
625	-1.3226e-004
626	-1.451e-004
627	-1.7544e-004
628	-1.9704e-004
629	-1.5714e-004
630	-1.6467e-004
631	-2.0727e-004
632	-2.3215e-004
633	-1.7146e-004
634	-1.6427e-004
635	-2.451e-004
636	-2.834e-004
637	-1.9612e-004
638	-1.9613e-004
639	-2.5736e-004
640	-2.8827e-004
641	-2.361e-004
642	-2.5728e-004
643	-2.5298e-004
644	-2.9454e-004
645	-2.5253e-004
646	-3.1862e-004
647	-2.4483e-004
648	-2.8663e-004
649	-2.6915e-004
650	-3.0419e-004
651	-2.7121e-004
652	-3.2244e-004
653	-2.6536e-004
654	-3.4866e-004
655	-2.4757e-004
656	-3.5628e-004
657	-2.3704e-004
658	-3.5557e-004
659	-2.2801e-004
660	-3.4663e-004
661	-2.1659e-004
662	-3.3773e-004
663	-2.0226e-004
664	-3.278e-004
665	-1.8529e-004
666	-3.1501e-004
667	-1.662e-004
668	-2.9831e-004
669	-1.4551e-004
670	-2.7748e-004
671	-1.2371e-004
672	-2.5288e-004
673	-1.0124e-004
674	-2.2517e-004
675	-7.8776e-005
676	-1.9494e-004
677	-5.548e-005
678	-1.6323e-004
