Node Number	Shear Elastic Strain (mm/mm)
294	-1.2363e-003
295	-1.1667e-003
296	-1.0689e-003
297	-9.3322e-004
298	-7.4728e-004
299	-4.9647e-004
300	-1.677e-004
301	2.3397e-004
302	6.4688e-004
303	6.632e-004
304	-8.8799e-004
305	-2.3764e-003
306	-1.3045e-003
307	-4.1374e-004
308	-3.0434e-004
309	-2.6157e-004
310	-4.5161e-004
311	-2.237e-004
312	-3.5697e-004
313	-2.5563e-004
314	-2.8355e-004
315	-2.4338e-004
316	-2.2213e-004
317	-1.6455e-004
318	-1.0638e-004
319	-5.0045e-004
320	4.5757e-004
321	1.3032e-004
322	-1.0408e-003
323	-1.0278e-003
324	-1.5987e-003
325	-1.8513e-003
326	-1.8307e-003
327	-1.7469e-003
328	-1.538e-003
329	-1.7864e-003
330	-1.8484e-003
331	-9.1105e-004
332	-1.3465e-003
333	-1.2531e-003
334	-1.2655e-003
335	-1.2683e-003
336	-1.2714e-003
337	-1.2793e-003
338	-1.2966e-003
339	-1.3287e-003
340	-1.382e-003
341	-1.4631e-003
342	-1.5789e-003
343	-1.7336e-003
344	-1.9291e-003
345	-2.1492e-003
346	-2.3876e-003
347	-2.4617e-003
348	-8.1476e-004
349	-8.9182e-004
350	-9.1771e-004
351	-9.2506e-004
352	-9.2621e-004
353	-9.3105e-004
354	-9.4912e-004
355	-9.9073e-004
356	-1.0664e-003
357	-1.1872e-003
358	-1.3603e-003
359	-1.5893e-003
360	-1.8515e-003
361	-2.1212e-003
362	-2.3809e-003
363	-3.0439e-003
364	-2.9079e-003
365	-1.2984e-003
366	-1.3148e-003
367	-1.3267e-003
368	-1.3423e-003
369	-1.3651e-003
370	-1.3993e-003
371	-1.4507e-003
372	-1.5257e-003
373	-1.6315e-003
374	-1.7757e-003
375	-1.9659e-003
376	-2.2085e-003
377	-2.4984e-003
378	-2.8264e-003
379	-2.1549e-003
380	-2.8841e-003
381	-2.4353e-003
382	-2.0458e-003
383	-1.7232e-003
384	-1.4794e-003
385	-1.303e-003
386	-1.1814e-003
387	-1.1015e-003
388	-1.0512e-003
389	-1.0195e-003
390	-9.9618e-004
391	-9.7114e-004
392	-9.3312e-004
393	-8.5106e-004
394	-2.2029e-003
395	-2.521e-003
396	-2.6527e-003
397	-2.8274e-003
398	-2.9964e-003
399	-3.1274e-003
400	-3.1996e-003
401	-3.2054e-003
402	-3.1473e-003
403	-3.0346e-003
404	-2.8803e-003
405	-2.6998e-003
406	-2.5085e-003
407	-2.3205e-003
408	-2.1473e-003
409	-1.9972e-003
410	-1.8743e-003
411	-1.7777e-003
412	-1.7019e-003
413	-1.6329e-003
414	-1.5191e-003
415	-1.4993e-003
416	-1.4369e-003
417	-1.3775e-003
418	-1.32e-003
419	-1.2646e-003
420	-1.211e-003
421	-1.1587e-003
422	-1.1074e-003
423	-1.0563e-003
424	-1.0049e-003
425	-9.5163e-004
426	-8.9951e-004
427	-8.4569e-004
428	-7.9508e-004
429	-7.0984e-004
430	-6.2214e-004
431	-5.8066e-004
432	-5.1614e-004
433	-4.2739e-004
434	-3.4378e-004
435	-2.7083e-004
436	-1.9546e-004
437	-1.291e-004
438	-6.5237e-005
439	-1.4925e-005
440	2.4985e-005
441	4.691e-005
442	4.3806e-005
443	-1.2252e-004
444	-1.8603e-004
445	-2.3491e-004
446	-2.5321e-004
447	-2.7612e-004
448	-2.3376e-004
449	-2.8646e-004
450	-1.8704e-004
451	-4.7338e-004
452	-8.2217e-004
453	-2.5009e-003
454	-6.9963e-003
455	-6.1908e-003
456	3.4781e-003
457	6.6028e-003
458	2.8186e-003
459	1.1764e-003
460	3.7943e-004
461	-8.4447e-005
462	-3.7095e-004
463	-5.5558e-004
464	-6.7934e-004
465	-7.6655e-004
466	-8.3221e-004
467	-8.8593e-004
468	-9.3415e-004
469	-9.8216e-004
470	-1.034e-003
471	-1.031e-003
472	-1.0402e-003
473	-1.0568e-003
474	-1.0949e-003
475	-1.1647e-003
476	-1.2689e-003
477	-1.4062e-003
478	-1.5718e-003
479	-1.7577e-003
480	-1.9527e-003
481	-2.1439e-003
482	-2.3169e-003
483	-2.4573e-003
484	-2.5524e-003
485	-2.592e-003
486	-2.5709e-003
487	-2.4927e-003
488	-2.3767e-003
489	-2.2648e-003
490	-2.2396e-003
491	-8.3248e-004
492	-8.4954e-004
493	-8.8199e-004
494	-8.7739e-004
495	-8.6761e-004
496	-8.3023e-004
497	-8.2384e-004
498	-7.4292e-004
499	-7.6223e-004
500	-6.2739e-004
501	-6.9028e-004
502	-4.8926e-004
503	-6.1419e-004
504	-3.3247e-004
505	-5.4019e-004
506	-1.6117e-004
507	-4.7461e-004
508	1.8909e-005
